"","汽車竊盜概況",,單位：件 、人 
"108年 9月/ 新北市 ","        12","        13","         －"
"108年 9月/ 臺北市 ","         6","         1","         －"
"108年 9月/ 桃園市 ","        23","        29","         －"
"108年 9月/ 臺中市 ","        12","        11","         －"
"108年 9月/ 臺南市 ","         3","         3","         －"
"108年 9月/ 高雄市 ","        16","        20","         －"
"108年 9月/ 宜蘭縣 ","         2","         4","         －"
"108年 9月/ 新竹縣 ","         5","         3","         －"
"108年 9月/ 苗栗縣 ","         5","         3","         －"
"108年 9月/ 彰化縣 ","         6","         4","         －"
"108年 9月/ 南投縣 ","         4","         1","         －"
"108年 9月/ 雲林縣 ","         5","         4","         －"
"108年 9月/ 嘉義縣 ","         －","         －","         －"
"108年 9月/ 屏東縣 ","         4","         5","         －"
"108年 9月/ 臺東縣 ","         －","         －","         －"
"108年 9月/ 花蓮縣 ","         1","         1","         －"
"108年 9月/ 澎湖縣 ","         1","         1","         －"
"108年 9月/ 基隆市 ","         1","         －","         －"
"108年 9月/ 新竹市 ","         3","         2","         －"
"108年 9月/ 嘉義市 ","         －","         －","         －"
"108年 9月/ 金門縣 ","         1","         1","         －"
"108年 9月/ 連江縣 ","         －","         －","         －"
"108年 10月/ 新北市 ","        10","        13","         －"
"108年 10月/ 臺北市 ","         9","        11","         －"
"108年 10月/ 桃園市 ","        26","        24","         －"
"108年 10月/ 臺中市 ","         5","         6","         －"
"108年 10月/ 臺南市 ","         2","         3","         －"
"108年 10月/ 高雄市 ","         5","         7","         －"
"108年 10月/ 宜蘭縣 ","         4","         4","         －"
"108年 10月/ 新竹縣 ","        12","        13","         －"
"108年 10月/ 苗栗縣 ","         －","         1","         －"
"108年 10月/ 彰化縣 ","         5","         2","         －"
"108年 10月/ 南投縣 ","         6","         6","         －"
"108年 10月/ 雲林縣 ","         7","         3","         －"
"108年 10月/ 嘉義縣 ","         3","         1","         －"
"108年 10月/ 屏東縣 ","         4","         3","         －"
"108年 10月/ 臺東縣 ","         －","         －","         －"
"108年 10月/ 花蓮縣 ","         －","         －","         －"
"108年 10月/ 澎湖縣 ","         1","         1","         －"
"108年 10月/ 基隆市 ","         －","         －","         －"
"108年 10月/ 新竹市 ","         1","         4","         －"
"108年 10月/ 嘉義市 ","         －","         －","         －"
"108年 10月/ 金門縣 ","         －","         －","         －"
"108年 10月/ 連江縣 ","         －","         －","         －"
"108年 11月/ 新北市 ","        23","        29","         －"
"108年 11月/ 臺北市 ","         5","         5","         －"
"108年 11月/ 桃園市 ","        32","        22","         －"
"108年 11月/ 臺中市 ","         9","         9","         －"
"108年 11月/ 臺南市 ","         3","         1","         －"
"108年 11月/ 高雄市 ","         3","         2","         －"
"108年 11月/ 宜蘭縣 ","         2","         －","         －"
"108年 11月/ 新竹縣 ","        14","        10","         －"
"108年 11月/ 苗栗縣 ","         5","         5","         －"
"108年 11月/ 彰化縣 ","         3","         2","         －"
"108年 11月/ 南投縣 ","         9","         8","         －"
"108年 11月/ 雲林縣 ","         7","         5","         －"
"108年 11月/ 嘉義縣 ","         1","         －","         －"
"108年 11月/ 屏東縣 ","         7","         7","         －"
"108年 11月/ 臺東縣 ","         －","         －","         －"
"108年 11月/ 花蓮縣 ","         2","         2","         －"
"108年 11月/ 澎湖縣 ","         －","         －","         －"
"108年 11月/ 基隆市 ","         1","         －","         －"
"108年 11月/ 新竹市 ","         3","         1","         －"
"108年 11月/ 嘉義市 ","         －","         －","         －"
"108年 11月/ 金門縣 ","         －","         －","         －"
"108年 11月/ 連江縣 ","         －","         －","         －"
"108年 12月/ 新北市 ","        14","        14","         －"
"108年 12月/ 臺北市 ","         3","         3","         －"
"108年 12月/ 桃園市 ","        37","        16","         －"
"108年 12月/ 臺中市 ","         5","         6","         －"
"108年 12月/ 臺南市 ","         9","         5","         －"
"108年 12月/ 高雄市 ","         7","         8","         －"
"108年 12月/ 宜蘭縣 ","         4","         2","         －"
"108年 12月/ 新竹縣 ","        10","         8","         －"
"108年 12月/ 苗栗縣 ","         2","         2","         －"
"108年 12月/ 彰化縣 ","         8","         5","         －"
"108年 12月/ 南投縣 ","         5","         5","         －"
"108年 12月/ 雲林縣 ","         －","         －","         －"
"108年 12月/ 嘉義縣 ","         5","         1","         －"
"108年 12月/ 屏東縣 ","         6","         4","         －"
"108年 12月/ 臺東縣 ","         1","         1","         －"
"108年 12月/ 花蓮縣 ","         1","         2","         －"
"108年 12月/ 澎湖縣 ","         －","         －","         －"
"108年 12月/ 基隆市 ","         1","         1","         －"
"108年 12月/ 新竹市 ","         3","         1","         －"
"108年 12月/ 嘉義市 ","         2","         1","         －"
"108年 12月/ 金門縣 ","         －","         －","         －"
"108年 12月/ 連江縣 ","         －","         －","         －"
"109年 1月/ 新北市 ","        12","        17","         －"
"109年 1月/ 臺北市 ","         2","         3","         －"
"109年 1月/ 桃園市 ","        11","        30","         －"
"109年 1月/ 臺中市 ","         7","         6","         －"
"109年 1月/ 臺南市 ","         7","         3","         －"
"109年 1月/ 高雄市 ","         6","         4","         －"
"109年 1月/ 宜蘭縣 ","         4","         1","         －"
"109年 1月/ 新竹縣 ","         6","        10","         －"
"109年 1月/ 苗栗縣 ","         4","         4","         －"
"109年 1月/ 彰化縣 ","         6","         4","         －"
"109年 1月/ 南投縣 ","         －","         3","         －"
"109年 1月/ 雲林縣 ","         1","         2","         －"
"109年 1月/ 嘉義縣 ","         4","         2","         －"
"109年 1月/ 屏東縣 ","         3","         2","         －"
"109年 1月/ 臺東縣 ","         －","         －","         －"
"109年 1月/ 花蓮縣 ","         1","         1","         －"
"109年 1月/ 澎湖縣 ","         －","         －","         －"
"109年 1月/ 基隆市 ","         2","         1","         －"
"109年 1月/ 新竹市 ","         2","         2","         －"
"109年 1月/ 嘉義市 ","         －","         2","         －"
"109年 1月/ 金門縣 ","         1","         －","         －"
"109年 1月/ 連江縣 ","         －","         －","         －"
"109年 2月/ 新北市 ","        18","        15","         －"
"109年 2月/ 臺北市 ","         1","         3","         －"
"109年 2月/ 桃園市 ","        22","        34","         －"
"109年 2月/ 臺中市 ","         9","        12","         －"
"109年 2月/ 臺南市 ","         2","         1","         －"
"109年 2月/ 高雄市 ","        12","        13","         －"
"109年 2月/ 宜蘭縣 ","         7","         8","         －"
"109年 2月/ 新竹縣 ","         4","         8","         －"
"109年 2月/ 苗栗縣 ","         1","         1","         －"
"109年 2月/ 彰化縣 ","         3","         6","         －"
"109年 2月/ 南投縣 ","         －","         4","         －"
"109年 2月/ 雲林縣 ","         1","         3","         －"
"109年 2月/ 嘉義縣 ","         －","         2","         －"
"109年 2月/ 屏東縣 ","         5","         4","         －"
"109年 2月/ 臺東縣 ","         －","         －","         －"
"109年 2月/ 花蓮縣 ","         3","         1","         －"
"109年 2月/ 澎湖縣 ","         －","         －","         －"
"109年 2月/ 基隆市 ","         1","         1","         －"
"109年 2月/ 新竹市 ","         4","         3","         －"
"109年 2月/ 嘉義市 ","         2","         －","         －"
"109年 2月/ 金門縣 ","         －","         1","         －"
"109年 2月/ 連江縣 ","         －","         －","         －"
"109年 3月/ 新北市 ","        12","        16","         －"
"109年 3月/ 臺北市 ","        18","        10","         －"
"109年 3月/ 桃園市 ","        23","        36","         －"
"109年 3月/ 臺中市 ","         5","         5","         －"
"109年 3月/ 臺南市 ","         6","         3","         －"
"109年 3月/ 高雄市 ","        10","        13","         －"
"109年 3月/ 宜蘭縣 ","         5","         7","         －"
"109年 3月/ 新竹縣 ","         6","         3","         －"
"109年 3月/ 苗栗縣 ","         3","         6","         －"
"109年 3月/ 彰化縣 ","         1","         4","         －"
"109年 3月/ 南投縣 ","         3","         3","         －"
"109年 3月/ 雲林縣 ","         4","         3","         －"
"109年 3月/ 嘉義縣 ","         1","         －","         －"
"109年 3月/ 屏東縣 ","         8","         4","         －"
"109年 3月/ 臺東縣 ","         1","         1","         －"
"109年 3月/ 花蓮縣 ","         －","         －","         －"
"109年 3月/ 澎湖縣 ","         2","         2","         －"
"109年 3月/ 基隆市 ","         3","         1","         －"
"109年 3月/ 新竹市 ","         2","         2","         －"
"109年 3月/ 嘉義市 ","         2","         1","         －"
"109年 3月/ 金門縣 ","         2","         1","         －"
"109年 3月/ 連江縣 ","         －","         －","         －"
"109年 4月/ 新北市 ","        16","        27","         －"
"109年 4月/ 臺北市 ","         3","         3","         －"
"109年 4月/ 桃園市 ","        44","        30","         －"
"109年 4月/ 臺中市 ","         5","         2","         －"
"109年 4月/ 臺南市 ","         5","         3","         －"
"109年 4月/ 高雄市 ","        18","        15","         －"
"109年 4月/ 宜蘭縣 ","         3","         3","         －"
"109年 4月/ 新竹縣 ","        14","         5","         －"
"109年 4月/ 苗栗縣 ","         3","         4","         －"
"109年 4月/ 彰化縣 ","         5","         8","         －"
"109年 4月/ 南投縣 ","         2","         2","         －"
"109年 4月/ 雲林縣 ","         4","         2","         －"
"109年 4月/ 嘉義縣 ","         1","         －","         －"
"109年 4月/ 屏東縣 ","         1","         5","         －"
"109年 4月/ 臺東縣 ","         －","         －","         －"
"109年 4月/ 花蓮縣 ","         6","         3","         －"
"109年 4月/ 澎湖縣 ","         －","         －","         －"
"109年 4月/ 基隆市 ","         2","         2","         －"
"109年 4月/ 新竹市 ","         2","         2","         －"
"109年 4月/ 嘉義市 ","         4","         2","         －"
"109年 4月/ 金門縣 ","         －","         1","         －"
"109年 4月/ 連江縣 ","         －","         －","         －"
"109年 5月/ 新北市 ","        14","        21","         －"
"109年 5月/ 臺北市 ","         4","         3","         －"
"109年 5月/ 桃園市 ","        23","        26","         －"
"109年 5月/ 臺中市 ","         7","         8","         －"
"109年 5月/ 臺南市 ","         9","         7","         －"
"109年 5月/ 高雄市 ","        10","         9","         －"
"109年 5月/ 宜蘭縣 ","         3","         1","         －"
"109年 5月/ 新竹縣 ","        12","        11","         －"
"109年 5月/ 苗栗縣 ","         3","         2","         －"
"109年 5月/ 彰化縣 ","         2","         2","         －"
"109年 5月/ 南投縣 ","         －","         －","         －"
"109年 5月/ 雲林縣 ","         －","         －","         －"
"109年 5月/ 嘉義縣 ","         1","         3","         －"
"109年 5月/ 屏東縣 ","         8","         3","         －"
"109年 5月/ 臺東縣 ","         －","         －","         －"
"109年 5月/ 花蓮縣 ","         －","         2","         －"
"109年 5月/ 澎湖縣 ","         －","         －","         －"
"109年 5月/ 基隆市 ","         1","         1","         －"
"109年 5月/ 新竹市 ","         2","         －","         －"
"109年 5月/ 嘉義市 ","         1","         1","         －"
"109年 5月/ 金門縣 ","         1","         －","         －"
"109年 5月/ 連江縣 ","         －","         －","         －"
"109年 6月/ 新北市 ","        12","        14","         －"
"109年 6月/ 臺北市 ","         2","         4","         －"
"109年 6月/ 桃園市 ","        18","        19","         －"
"109年 6月/ 臺中市 ","        14","        12","         －"
"109年 6月/ 臺南市 ","        11","        10","         －"
"109年 6月/ 高雄市 ","         8","         9","         －"
"109年 6月/ 宜蘭縣 ","         1","         3","         －"
"109年 6月/ 新竹縣 ","         7","         6","         －"
"109年 6月/ 苗栗縣 ","         3","         5","         －"
"109年 6月/ 彰化縣 ","         3","         1","         －"
"109年 6月/ 南投縣 ","         2","         1","         －"
"109年 6月/ 雲林縣 ","         4","         4","         －"
"109年 6月/ 嘉義縣 ","         2","         －","         －"
"109年 6月/ 屏東縣 ","         1","         4","         －"
"109年 6月/ 臺東縣 ","         1","         1","         －"
"109年 6月/ 花蓮縣 ","         1","         －","         －"
"109年 6月/ 澎湖縣 ","         －","         －","         －"
"109年 6月/ 基隆市 ","         1","         －","         －"
"109年 6月/ 新竹市 ","         5","         2","         －"
"109年 6月/ 嘉義市 ","         1","         2","         －"
"109年 6月/ 金門縣 ","         －","         －","         －"
"109年 6月/ 連江縣 ","         －","         －","         －"
"109年 7月/ 新北市 ","         6","         9","         －"
"109年 7月/ 臺北市 ","         2","         1","         －"
"109年 7月/ 桃園市 ","         5","         8","         －"
"109年 7月/ 臺中市 ","        10","        11","         －"
"109年 7月/ 臺南市 ","         5","         2","         －"
"109年 7月/ 高雄市 ","         7","         9","         －"
"109年 7月/ 宜蘭縣 ","         1","         1","         －"
"109年 7月/ 新竹縣 ","         3","         2","         －"
"109年 7月/ 苗栗縣 ","         －","         －","         －"
"109年 7月/ 彰化縣 ","         3","         1","         －"
"109年 7月/ 南投縣 ","         2","         5","         －"
"109年 7月/ 雲林縣 ","         4","         1","         －"
"109年 7月/ 嘉義縣 ","         －","         1","         －"
"109年 7月/ 屏東縣 ","         1","         2","         －"
"109年 7月/ 臺東縣 ","         －","         －","         －"
"109年 7月/ 花蓮縣 ","         1","         2","         －"
"109年 7月/ 澎湖縣 ","         －","         －","         －"
"109年 7月/ 基隆市 ","         1","         －","         －"
"109年 7月/ 新竹市 ","         2","         －","         －"
"109年 7月/ 嘉義市 ","         －","         －","         －"
"109年 7月/ 金門縣 ","         －","         1","         －"
"109年 7月/ 連江縣 ","         －","         －","         －"
"109年 8月/ 新北市 ","         2","         2","         －"
"109年 8月/ 臺北市 ","         1","         －","         －"
"109年 8月/ 桃園市 ","         5","         5","         －"
"109年 8月/ 臺中市 ","        11","         9","         －"
"109年 8月/ 臺南市 ","         4","         5","         －"
"109年 8月/ 高雄市 ","         7","         5","         －"
"109年 8月/ 宜蘭縣 ","         5","         3","         －"
"109年 8月/ 新竹縣 ","         3","         2","         －"
"109年 8月/ 苗栗縣 ","         1","         2","         －"
"109年 8月/ 彰化縣 ","        11","         8","         －"
"109年 8月/ 南投縣 ","         3","         3","         －"
"109年 8月/ 雲林縣 ","         5","         4","         －"
"109年 8月/ 嘉義縣 ","         6","         4","         －"
"109年 8月/ 屏東縣 ","         2","         1","         －"
"109年 8月/ 臺東縣 ","         －","         －","         －"
"109年 8月/ 花蓮縣 ","         1","         1","         －"
"109年 8月/ 澎湖縣 ","         －","         1","         －"
"109年 8月/ 基隆市 ","         －","         －","         －"
"109年 8月/ 新竹市 ","         1","         5","         －"
"109年 8月/ 嘉義市 ","         1","         －","         －"
"109年 8月/ 金門縣 ","         －","         －","         －"
"109年 8月/ 連江縣 ","         －","         －","         －"
"109年 9月/ 新北市 ","         4","         4","         －"
"109年 9月/ 臺北市 ","         1","         1","         －"
"109年 9月/ 桃園市 ","         7","         6","         －"
"109年 9月/ 臺中市 ","         7","         7","         －"
"109年 9月/ 臺南市 ","         7","         5","         －"
"109年 9月/ 高雄市 ","         7","         8","         －"
"109年 9月/ 宜蘭縣 ","         7","         9","         －"
"109年 9月/ 新竹縣 ","         －","         －","         －"
"109年 9月/ 苗栗縣 ","         2","         2","         －"
"109年 9月/ 彰化縣 ","         2","         1","         －"
"109年 9月/ 南投縣 ","         6","         6","         －"
"109年 9月/ 雲林縣 ","         6","         6","         －"
"109年 9月/ 嘉義縣 ","         －","         －","         －"
"109年 9月/ 屏東縣 ","         1","         1","         －"
"109年 9月/ 臺東縣 ","         1","         1","         －"
"109年 9月/ 花蓮縣 ","         2","         2","         －"
"109年 9月/ 澎湖縣 ","         －","         －","         －"
"109年 9月/ 基隆市 ","         1","         1","         －"
"109年 9月/ 新竹市 ","         1","         －","         －"
"109年 9月/ 嘉義市 ","         －","         1","         －"
"109年 9月/ 金門縣 ","         －","         －","         －"
"109年 9月/ 連江縣 ","         －","         －","         －"
"109年 10月/ 新北市 ","         1","         3","         －"
"109年 10月/ 臺北市 ","         2","         4","         －"
"109年 10月/ 桃園市 ","        11","        12","         －"
"109年 10月/ 臺中市 ","         8","        12","         －"
"109年 10月/ 臺南市 ","         －","         －","         －"
"109年 10月/ 高雄市 ","         8","         7","         －"
"109年 10月/ 宜蘭縣 ","         2","         3","         －"
"109年 10月/ 新竹縣 ","         4","         1","         －"
"109年 10月/ 苗栗縣 ","         2","         2","         －"
"109年 10月/ 彰化縣 ","         7","         8","         －"
"109年 10月/ 南投縣 ","         3","         3","         －"
"109年 10月/ 雲林縣 ","         1","         －","         －"
"109年 10月/ 嘉義縣 ","         1","         2","         －"
"109年 10月/ 屏東縣 ","         1","         1","         －"
"109年 10月/ 臺東縣 ","         －","         1","         －"
"109年 10月/ 花蓮縣 ","         2","         1","         －"
"109年 10月/ 澎湖縣 ","         1","         1","         －"
"109年 10月/ 基隆市 ","         1","         1","         －"
"109年 10月/ 新竹市 ","         5","         3","         －"
"109年 10月/ 嘉義市 ","         －","         －","         －"
"109年 10月/ 金門縣 ","         －","         －","         －"
"109年 10月/ 連江縣 ","         －","         －","         －"
"109年 11月/ 新北市 ","         1","         1","         －"
"109年 11月/ 臺北市 ","         4","         4","         －"
"109年 11月/ 桃園市 ","        10","        12","         －"
"109年 11月/ 臺中市 ","        11","        11","         －"
"109年 11月/ 臺南市 ","         3","         3","         －"
"109年 11月/ 高雄市 ","         5","         4","         －"
"109年 11月/ 宜蘭縣 ","         6","         3","         －"
"109年 11月/ 新竹縣 ","         3","         1","         －"
"109年 11月/ 苗栗縣 ","         5","         3","         －"
"109年 11月/ 彰化縣 ","         5","         7","         －"
"109年 11月/ 南投縣 ","         3","         3","         －"
"109年 11月/ 雲林縣 ","         4","         4","         －"
"109年 11月/ 嘉義縣 ","         2","         2","         －"
"109年 11月/ 屏東縣 ","         2","         2","         －"
"109年 11月/ 臺東縣 ","         2","         2","         －"
"109年 11月/ 花蓮縣 ","         1","         2","         －"
"109年 11月/ 澎湖縣 ","         －","         －","         －"
"109年 11月/ 基隆市 ","         －","         －","         －"
"109年 11月/ 新竹市 ","         1","         3","         －"
"109年 11月/ 嘉義市 ","         －","         －","         －"
"109年 11月/ 金門縣 ","         －","         －","         －"
"109年 11月/ 連江縣 ","         －","         －","         －"
"109年 12月/ 新北市 ","         4","         5","         －"
"109年 12月/ 臺北市 ","         1","         －","         －"
"109年 12月/ 桃園市 ","         7","         4","         －"
"109年 12月/ 臺中市 ","         3","         3","         －"
"109年 12月/ 臺南市 ","         1","         1","         －"
"109年 12月/ 高雄市 ","         2","         2","         －"
"109年 12月/ 宜蘭縣 ","         4","         4","         －"
"109年 12月/ 新竹縣 ","         6","         1","         －"
"109年 12月/ 苗栗縣 ","         9","         3","         －"
"109年 12月/ 彰化縣 ","         4","        12","         －"
"109年 12月/ 南投縣 ","         2","         2","         －"
"109年 12月/ 雲林縣 ","         3","         1","         －"
"109年 12月/ 嘉義縣 ","         2","         2","         －"
"109年 12月/ 屏東縣 ","         1","         1","         －"
"109年 12月/ 臺東縣 ","         －","         1","         －"
"109年 12月/ 花蓮縣 ","         1","         1","         －"
"109年 12月/ 澎湖縣 ","         1","         1","         －"
"109年 12月/ 基隆市 ","         －","         －","         －"
"109年 12月/ 新竹市 ","         3","         1","         －"
"109年 12月/ 嘉義市 ","         3","         －","         －"
"109年 12月/ 金門縣 ","         －","         －","         －"
"109年 12月/ 連江縣 ","         －","         －","         －"
"110年 1月/ 新北市 ","         4","         5","         －"
"110年 1月/ 臺北市 ","         2","         2","         －"
"110年 1月/ 桃園市 ","        13","        18","         －"
"110年 1月/ 臺中市 ","         7","        10","         －"
"110年 1月/ 臺南市 ","         －","        12","         －"
"110年 1月/ 高雄市 ","         3","         2","         －"
"110年 1月/ 宜蘭縣 ","         5","         3","         －"
"110年 1月/ 新竹縣 ","         4","         3","         －"
"110年 1月/ 苗栗縣 ","         －","         3","         －"
"110年 1月/ 彰化縣 ","         3","         3","         －"
"110年 1月/ 南投縣 ","         2","         2","         －"
"110年 1月/ 雲林縣 ","         1","         1","         －"
"110年 1月/ 嘉義縣 ","         3","         4","         －"
"110年 1月/ 屏東縣 ","         2","         1","         －"
"110年 1月/ 臺東縣 ","         －","         －","         －"
"110年 1月/ 花蓮縣 ","         －","         －","         －"
"110年 1月/ 澎湖縣 ","         －","         －","         －"
"110年 1月/ 基隆市 ","         3","         3","         －"
"110年 1月/ 新竹市 ","         1","         2","         －"
"110年 1月/ 嘉義市 ","         3","         3","         －"
"110年 1月/ 金門縣 ","         －","         －","         －"
"110年 1月/ 連江縣 ","         －","         －","         －"
"110年 2月/ 新北市 ","         4","         1","         －"
"110年 2月/ 臺北市 ","         2","         2","         －"
"110年 2月/ 桃園市 ","        15","        18","         －"
"110年 2月/ 臺中市 ","         5","         4","         －"
"110年 2月/ 臺南市 ","         7","         7","         －"
"110年 2月/ 高雄市 ","         6","         5","         －"
"110年 2月/ 宜蘭縣 ","         －","         －","         －"
"110年 2月/ 新竹縣 ","         2","         2","         －"
"110年 2月/ 苗栗縣 ","         1","         －","         －"
"110年 2月/ 彰化縣 ","         4","         4","         －"
"110年 2月/ 南投縣 ","         4","         3","         －"
"110年 2月/ 雲林縣 ","         1","         2","         －"
"110年 2月/ 嘉義縣 ","         3","         2","         －"
"110年 2月/ 屏東縣 ","         4","         －","         －"
"110年 2月/ 臺東縣 ","         －","         －","         －"
"110年 2月/ 花蓮縣 ","         1","         －","         －"
"110年 2月/ 澎湖縣 ","         －","         －","         －"
"110年 2月/ 基隆市 ","         －","         －","         －"
"110年 2月/ 新竹市 ","         －","         1","         －"
"110年 2月/ 嘉義市 ","         －","         4","         －"
"110年 2月/ 金門縣 ","         －","         －","         －"
"110年 2月/ 連江縣 ","         －","         －","         －"
"110年 3月/ 新北市 ","         6","         6","         －"
"110年 3月/ 臺北市 ","         3","         3","         －"
"110年 3月/ 桃園市 ","        22","        26","         －"
"110年 3月/ 臺中市 ","         5","         6","         －"
"110年 3月/ 臺南市 ","         6","         5","         －"
"110年 3月/ 高雄市 ","        12","        13","         －"
"110年 3月/ 宜蘭縣 ","         5","         7","         －"
"110年 3月/ 新竹縣 ","         7","         8","         －"
"110年 3月/ 苗栗縣 ","         －","         1","         －"
"110年 3月/ 彰化縣 ","         1","         1","         －"
"110年 3月/ 南投縣 ","         1","         2","         －"
"110年 3月/ 雲林縣 ","         1","         4","         －"
"110年 3月/ 嘉義縣 ","         －","         －","         －"
"110年 3月/ 屏東縣 ","         5","         4","         －"
"110年 3月/ 臺東縣 ","         1","         －","         －"
"110年 3月/ 花蓮縣 ","         2","         1","         －"
"110年 3月/ 澎湖縣 ","         －","         －","         －"
"110年 3月/ 基隆市 ","         1","         1","         －"
"110年 3月/ 新竹市 ","         2","         1","         －"
"110年 3月/ 嘉義市 ","         1","         1","         －"
"110年 3月/ 金門縣 ","         －","         －","         －"
"110年 3月/ 連江縣 ","         －","         －","         －"
"110年 4月/ 新北市 ","         7","        11","         －"
"110年 4月/ 臺北市 ","         4","         2","         －"
"110年 4月/ 桃園市 ","         6","        10","         －"
"110年 4月/ 臺中市 ","         5","         4","         －"
"110年 4月/ 臺南市 ","         5","         5","         －"
"110年 4月/ 高雄市 ","         5","         5","         －"
"110年 4月/ 宜蘭縣 ","         9","         7","         －"
"110年 4月/ 新竹縣 ","         9","         7","         －"
"110年 4月/ 苗栗縣 ","         2","         1","         －"
"110年 4月/ 彰化縣 ","         3","         2","         －"
"110年 4月/ 南投縣 ","         5","         4","         －"
"110年 4月/ 雲林縣 ","         3","         2","         －"
"110年 4月/ 嘉義縣 ","         －","         －","         －"
"110年 4月/ 屏東縣 ","         2","         2","         －"
"110年 4月/ 臺東縣 ","         －","         －","         －"
"110年 4月/ 花蓮縣 ","         －","         －","         －"
"110年 4月/ 澎湖縣 ","         －","         －","         －"
"110年 4月/ 基隆市 ","         1","         －","         －"
"110年 4月/ 新竹市 ","         1","         1","         －"
"110年 4月/ 嘉義市 ","         －","         －","         －"
"110年 4月/ 金門縣 ","         －","         －","         －"
"110年 4月/ 連江縣 ","         －","         －","         －"
