"","汽車竊盜概況",,單位：件 、人 
"110年 5月/ 新北市 ","         4","         4","         －"
"110年 5月/ 臺北市 ","         3","         5","         －"
"110年 5月/ 桃園市 ","         9","        12","         －"
"110年 5月/ 臺中市 ","         1","         4","         －"
"110年 5月/ 臺南市 ","         8","         7","         －"
"110年 5月/ 高雄市 ","         6","         8","         －"
"110年 5月/ 宜蘭縣 ","         3","         4","         －"
"110年 5月/ 新竹縣 ","         8","         6","         －"
"110年 5月/ 苗栗縣 ","         2","         2","         －"
"110年 5月/ 彰化縣 ","         6","         6","         －"
"110年 5月/ 南投縣 ","         2","         －","         －"
"110年 5月/ 雲林縣 ","         5","         4","         －"
"110年 5月/ 嘉義縣 ","         3","         2","         －"
"110年 5月/ 屏東縣 ","         5","         4","         －"
"110年 5月/ 臺東縣 ","         1","         －","         －"
"110年 5月/ 花蓮縣 ","         －","         －","         －"
"110年 5月/ 澎湖縣 ","         1","         1","         －"
"110年 5月/ 基隆市 ","         －","         －","         －"
"110年 5月/ 新竹市 ","         1","         1","         －"
"110年 5月/ 嘉義市 ","         －","         －","         －"
"110年 5月/ 金門縣 ","         －","         －","         －"
"110年 5月/ 連江縣 ","         －","         －","         －"
"110年 6月/ 新北市 ","         7","         5","         －"
"110年 6月/ 臺北市 ","         3","         2","         －"
"110年 6月/ 桃園市 ","        20","        21","         －"
"110年 6月/ 臺中市 ","         5","         5","         －"
"110年 6月/ 臺南市 ","         2","         5","         －"
"110年 6月/ 高雄市 ","         4","         5","         －"
"110年 6月/ 宜蘭縣 ","         8","         6","         －"
"110年 6月/ 新竹縣 ","        14","         8","         －"
"110年 6月/ 苗栗縣 ","         2","         3","         －"
"110年 6月/ 彰化縣 ","         3","         6","         －"
"110年 6月/ 南投縣 ","         3","         2","         －"
"110年 6月/ 雲林縣 ","         2","         2","         －"
"110年 6月/ 嘉義縣 ","         4","         3","         －"
"110年 6月/ 屏東縣 ","         7","         4","         －"
"110年 6月/ 臺東縣 ","         1","         －","         －"
"110年 6月/ 花蓮縣 ","         1","         1","         －"
"110年 6月/ 澎湖縣 ","         －","         －","         －"
"110年 6月/ 基隆市 ","         3","         3","         －"
"110年 6月/ 新竹市 ","         3","         1","         －"
"110年 6月/ 嘉義市 ","         －","         －","         －"
"110年 6月/ 金門縣 ","         －","         －","         －"
"110年 6月/ 連江縣 ","         －","         －","         －"
"110年 7月/ 新北市 ","         2","         1","         －"
"110年 7月/ 臺北市 ","         3","         2","         －"
"110年 7月/ 桃園市 ","         6","         9","         －"
"110年 7月/ 臺中市 ","         4","         4","         －"
"110年 7月/ 臺南市 ","         4","         4","         －"
"110年 7月/ 高雄市 ","         7","         7","         －"
"110年 7月/ 宜蘭縣 ","         8","         5","         －"
"110年 7月/ 新竹縣 ","         9","         8","         －"
"110年 7月/ 苗栗縣 ","         1","         2","         －"
"110年 7月/ 彰化縣 ","         5","         3","         －"
"110年 7月/ 南投縣 ","         3","         2","         －"
"110年 7月/ 雲林縣 ","         1","         1","         －"
"110年 7月/ 嘉義縣 ","         －","         －","         －"
"110年 7月/ 屏東縣 ","         1","         －","         －"
"110年 7月/ 臺東縣 ","         －","         1","         －"
"110年 7月/ 花蓮縣 ","         3","         3","         －"
"110年 7月/ 澎湖縣 ","         －","         －","         －"
"110年 7月/ 基隆市 ","         －","         －","         －"
"110年 7月/ 新竹市 ","         2","         2","         －"
"110年 7月/ 嘉義市 ","         －","         1","         －"
"110年 7月/ 金門縣 ","         －","         1","         －"
"110年 7月/ 連江縣 ","         －","         －","         －"
"110年 8月/ 新北市 ","         7","         8","         －"
"110年 8月/ 臺北市 ","         3","         2","         －"
"110年 8月/ 桃園市 ","         5","         7","         －"
"110年 8月/ 臺中市 ","         3","         3","         －"
"110年 8月/ 臺南市 ","         1","         1","         －"
"110年 8月/ 高雄市 ","         2","         3","         －"
"110年 8月/ 宜蘭縣 ","         7","         9","         －"
"110年 8月/ 新竹縣 ","         9","         8","         －"
"110年 8月/ 苗栗縣 ","         －","         1","         －"
"110年 8月/ 彰化縣 ","         5","         6","         －"
"110年 8月/ 南投縣 ","         －","         1","         －"
"110年 8月/ 雲林縣 ","         －","         1","         －"
"110年 8月/ 嘉義縣 ","         2","         1","         －"
"110年 8月/ 屏東縣 ","         1","         －","         －"
"110年 8月/ 臺東縣 ","         1","         1","         －"
"110年 8月/ 花蓮縣 ","         2","         2","         －"
"110年 8月/ 澎湖縣 ","         －","         －","         －"
"110年 8月/ 基隆市 ","         1","         1","         －"
"110年 8月/ 新竹市 ","         1","         1","         －"
"110年 8月/ 嘉義市 ","         1","         －","         －"
"110年 8月/ 金門縣 ","         －","         －","         －"
"110年 8月/ 連江縣 ","         －","         －","         －"
"110年 9月/ 新北市 ","         9","        12","         －"
"110年 9月/ 臺北市 ","         3","         2","         －"
"110年 9月/ 桃園市 ","         8","         7","         －"
"110年 9月/ 臺中市 ","         9","         7","         －"
"110年 9月/ 臺南市 ","         2","         4","         －"
"110年 9月/ 高雄市 ","         3","         3","         －"
"110年 9月/ 宜蘭縣 ","         7","         6","         －"
"110年 9月/ 新竹縣 ","        12","        11","         －"
"110年 9月/ 苗栗縣 ","         －","         －","         －"
"110年 9月/ 彰化縣 ","         1","         1","         －"
"110年 9月/ 南投縣 ","         3","         4","         －"
"110年 9月/ 雲林縣 ","         2","         2","         －"
"110年 9月/ 嘉義縣 ","         2","         －","         －"
"110年 9月/ 屏東縣 ","         5","         3","         －"
"110年 9月/ 臺東縣 ","         1","         1","         －"
"110年 9月/ 花蓮縣 ","         1","         1","         －"
"110年 9月/ 澎湖縣 ","         －","         －","         －"
"110年 9月/ 基隆市 ","         1","         －","         －"
"110年 9月/ 新竹市 ","         1","         2","         －"
"110年 9月/ 嘉義市 ","         －","         －","         －"
"110年 9月/ 金門縣 ","         －","         －","         －"
"110年 9月/ 連江縣 ","         －","         －","         －"
"110年 10月/ 新北市 ","         9","        11","         －"
"110年 10月/ 臺北市 ","         2","         2","         －"
"110年 10月/ 桃園市 ","         8","        12","         －"
"110年 10月/ 臺中市 ","         5","         2","         －"
"110年 10月/ 臺南市 ","         4","         2","         －"
"110年 10月/ 高雄市 ","         5","         2","         －"
"110年 10月/ 宜蘭縣 ","         3","         3","         －"
"110年 10月/ 新竹縣 ","         8","        10","         －"
"110年 10月/ 苗栗縣 ","         4","         2","         －"
"110年 10月/ 彰化縣 ","         1","         1","         －"
"110年 10月/ 南投縣 ","         2","         1","         －"
"110年 10月/ 雲林縣 ","         －","         －","         －"
"110年 10月/ 嘉義縣 ","         －","         1","         －"
"110年 10月/ 屏東縣 ","         1","         7","         －"
"110年 10月/ 臺東縣 ","         －","         1","         －"
"110年 10月/ 花蓮縣 ","         6","         6","         －"
"110年 10月/ 澎湖縣 ","         －","         －","         －"
"110年 10月/ 基隆市 ","         －","         －","         －"
"110年 10月/ 新竹市 ","         3","         1","         －"
"110年 10月/ 嘉義市 ","         －","         －","         －"
"110年 10月/ 金門縣 ","         －","         －","         －"
"110年 10月/ 連江縣 ","         －","         －","         －"
"110年 11月/ 新北市 ","        11","         8","         －"
"110年 11月/ 臺北市 ","         1","         2","         －"
"110年 11月/ 桃園市 ","        11","        15","         －"
"110年 11月/ 臺中市 ","         5","         5","         －"
"110年 11月/ 臺南市 ","         3","         2","         －"
"110年 11月/ 高雄市 ","         4","         4","         －"
"110年 11月/ 宜蘭縣 ","         7","         6","         －"
"110年 11月/ 新竹縣 ","        11","        10","         －"
"110年 11月/ 苗栗縣 ","         6","         6","         －"
"110年 11月/ 彰化縣 ","         9","         8","         －"
"110年 11月/ 南投縣 ","         2","         3","         －"
"110年 11月/ 雲林縣 ","         1","         1","         －"
"110年 11月/ 嘉義縣 ","         2","         1","         －"
"110年 11月/ 屏東縣 ","         3","         2","         －"
"110年 11月/ 臺東縣 ","         －","         －","         －"
"110年 11月/ 花蓮縣 ","         1","         1","         －"
"110年 11月/ 澎湖縣 ","         －","         －","         －"
"110年 11月/ 基隆市 ","         2","         3","         －"
"110年 11月/ 新竹市 ","         3","         2","         －"
"110年 11月/ 嘉義市 ","         －","         －","         －"
"110年 11月/ 金門縣 ","         －","         －","         －"
"110年 11月/ 連江縣 ","         －","         －","         －"
"110年 12月/ 新北市 ","        12","        13","         －"
"110年 12月/ 臺北市 ","         4","         2","         －"
"110年 12月/ 桃園市 ","        15","         3","         －"
"110年 12月/ 臺中市 ","         6","         4","         －"
"110年 12月/ 臺南市 ","         2","         2","         －"
"110年 12月/ 高雄市 ","         3","         3","         －"
"110年 12月/ 宜蘭縣 ","         5","         2","         －"
"110年 12月/ 新竹縣 ","         4","         4","         －"
"110年 12月/ 苗栗縣 ","         7","         4","         －"
"110年 12月/ 彰化縣 ","         2","         4","         －"
"110年 12月/ 南投縣 ","         4","         3","         －"
"110年 12月/ 雲林縣 ","         1","         1","         －"
"110年 12月/ 嘉義縣 ","         －","         －","         －"
"110年 12月/ 屏東縣 ","         －","         －","         －"
"110年 12月/ 臺東縣 ","         －","         －","         －"
"110年 12月/ 花蓮縣 ","         3","         3","         －"
"110年 12月/ 澎湖縣 ","         －","         －","         －"
"110年 12月/ 基隆市 ","         1","         1","         －"
"110年 12月/ 新竹市 ","         2","         2","         －"
"110年 12月/ 嘉義市 ","         －","         －","         －"
"110年 12月/ 金門縣 ","         －","         －","         －"
"110年 12月/ 連江縣 ","         －","         －","         －"
"111年 1月/ 新北市 ","         7","         9","         －"
"111年 1月/ 臺北市 ","         1","         4","         －"
"111年 1月/ 桃園市 ","         8","        14","         －"
"111年 1月/ 臺中市 ","         3","         5","         －"
"111年 1月/ 臺南市 ","         －","         －","         －"
"111年 1月/ 高雄市 ","         3","         3","         －"
"111年 1月/ 宜蘭縣 ","         4","         5","         －"
"111年 1月/ 新竹縣 ","         1","         －","         －"
"111年 1月/ 苗栗縣 ","         －","         －","         －"
"111年 1月/ 彰化縣 ","         2","         2","         －"
"111年 1月/ 南投縣 ","         1","         －","         －"
"111年 1月/ 雲林縣 ","         －","         －","         －"
"111年 1月/ 嘉義縣 ","         －","         －","         －"
"111年 1月/ 屏東縣 ","         1","         2","         －"
"111年 1月/ 臺東縣 ","         1","         1","         －"
"111年 1月/ 花蓮縣 ","         2","         2","         －"
"111年 1月/ 澎湖縣 ","         －","         －","         －"
"111年 1月/ 基隆市 ","         －","         －","         －"
"111年 1月/ 新竹市 ","         2","         2","         －"
"111年 1月/ 嘉義市 ","         －","         －","         －"
"111年 1月/ 金門縣 ","         －","         －","         －"
"111年 1月/ 連江縣 ","         －","         －","         －"
"111年 2月/ 新北市 ","        13","        15","         －"
"111年 2月/ 臺北市 ","         8","         6","         －"
"111年 2月/ 桃園市 ","        12","        18","         －"
"111年 2月/ 臺中市 ","         2","         1","         －"
"111年 2月/ 臺南市 ","         3","         3","         －"
"111年 2月/ 高雄市 ","         3","         5","         －"
"111年 2月/ 宜蘭縣 ","         8","        10","         －"
"111年 2月/ 新竹縣 ","         3","         2","         －"
"111年 2月/ 苗栗縣 ","         －","         －","         －"
"111年 2月/ 彰化縣 ","         3","         3","         －"
"111年 2月/ 南投縣 ","         2","         2","         －"
"111年 2月/ 雲林縣 ","         2","         2","         －"
"111年 2月/ 嘉義縣 ","         1","         1","         －"
"111年 2月/ 屏東縣 ","         4","         3","         －"
"111年 2月/ 臺東縣 ","         －","         －","         －"
"111年 2月/ 花蓮縣 ","         2","         1","         －"
"111年 2月/ 澎湖縣 ","         －","         －","         －"
"111年 2月/ 基隆市 ","         1","         －","         －"
"111年 2月/ 新竹市 ","         4","         －","         －"
"111年 2月/ 嘉義市 ","         －","         －","         －"
"111年 2月/ 金門縣 ","         －","         －","         －"
"111年 2月/ 連江縣 ","         －","         －","         －"
"111年 3月/ 新北市 ","         8","        13","         －"
"111年 3月/ 臺北市 ","         1","         1","         －"
"111年 3月/ 桃園市 ","         9","         9","         －"
"111年 3月/ 臺中市 ","         5","         4","         －"
"111年 3月/ 臺南市 ","         2","         1","         －"
"111年 3月/ 高雄市 ","         2","         3","         －"
"111年 3月/ 宜蘭縣 ","         5","         4","         －"
"111年 3月/ 新竹縣 ","         2","         3","         －"
"111年 3月/ 苗栗縣 ","         1","         1","         －"
"111年 3月/ 彰化縣 ","         2","         1","         －"
"111年 3月/ 南投縣 ","         2","         4","         －"
"111年 3月/ 雲林縣 ","         1","         1","         －"
"111年 3月/ 嘉義縣 ","         1","         1","         －"
"111年 3月/ 屏東縣 ","         4","         6","         －"
"111年 3月/ 臺東縣 ","         －","         －","         －"
"111年 3月/ 花蓮縣 ","         2","         2","         －"
"111年 3月/ 澎湖縣 ","         1","         1","         －"
"111年 3月/ 基隆市 ","         －","         1","         －"
"111年 3月/ 新竹市 ","         －","         －","         －"
"111年 3月/ 嘉義市 ","         －","         －","         －"
"111年 3月/ 金門縣 ","         －","         －","         －"
"111年 3月/ 連江縣 ","         －","         －","         －"
"111年 4月/ 新北市 ","         1","         3","         －"
"111年 4月/ 臺北市 ","         4","         3","         －"
"111年 4月/ 桃園市 ","         4","         5","         －"
"111年 4月/ 臺中市 ","         1","         2","         －"
"111年 4月/ 臺南市 ","         1","         2","         －"
"111年 4月/ 高雄市 ","         3","         4","         －"
"111年 4月/ 宜蘭縣 ","         6","         5","         －"
"111年 4月/ 新竹縣 ","         6","         4","         －"
"111年 4月/ 苗栗縣 ","         3","         3","         －"
"111年 4月/ 彰化縣 ","         2","         2","         －"
"111年 4月/ 南投縣 ","         －","         －","         －"
"111年 4月/ 雲林縣 ","         －","         －","         －"
"111年 4月/ 嘉義縣 ","         1","         －","         －"
"111年 4月/ 屏東縣 ","         6","         3","         －"
"111年 4月/ 臺東縣 ","         －","         －","         －"
"111年 4月/ 花蓮縣 ","         2","         2","         －"
"111年 4月/ 澎湖縣 ","         －","         －","         －"
"111年 4月/ 基隆市 ","         1","         1","         －"
"111年 4月/ 新竹市 ","         1","         －","         －"
"111年 4月/ 嘉義市 ","         －","         －","         －"
"111年 4月/ 金門縣 ","         －","         －","         －"
"111年 4月/ 連江縣 ","         1","         1","         －"
"111年 5月/ 新北市 ","        12","        13","         －"
"111年 5月/ 臺北市 ","         3","         3","         －"
"111年 5月/ 桃園市 ","         1","         6","         －"
"111年 5月/ 臺中市 ","         9","         7","         －"
"111年 5月/ 臺南市 ","         2","         1","         －"
"111年 5月/ 高雄市 ","         2","         3","         －"
"111年 5月/ 宜蘭縣 ","         7","         8","         －"
"111年 5月/ 新竹縣 ","         7","         6","         －"
"111年 5月/ 苗栗縣 ","         3","         3","         －"
"111年 5月/ 彰化縣 ","         4","         3","         －"
"111年 5月/ 南投縣 ","         4","         5","         －"
"111年 5月/ 雲林縣 ","         1","         －","         －"
"111年 5月/ 嘉義縣 ","         3","         2","         －"
"111年 5月/ 屏東縣 ","         3","         5","         －"
"111年 5月/ 臺東縣 ","         1","         －","         －"
"111年 5月/ 花蓮縣 ","         2","         2","         －"
"111年 5月/ 澎湖縣 ","         －","         －","         －"
"111年 5月/ 基隆市 ","         4","         －","         －"
"111年 5月/ 新竹市 ","         2","         －","         －"
"111年 5月/ 嘉義市 ","         －","         －","         －"
"111年 5月/ 金門縣 ","         －","         －","         －"
"111年 5月/ 連江縣 ","         －","         －","         －"
"111年 6月/ 新北市 ","        23","        22","         －"
"111年 6月/ 臺北市 ","         3","         3","         －"
"111年 6月/ 桃園市 ","         5","         6","         －"
"111年 6月/ 臺中市 ","         8","         8","         －"
"111年 6月/ 臺南市 ","         1","         1","         －"
"111年 6月/ 高雄市 ","         7","         9","         －"
"111年 6月/ 宜蘭縣 ","         1","         1","         －"
"111年 6月/ 新竹縣 ","         3","         4","         －"
"111年 6月/ 苗栗縣 ","         2","         2","         －"
"111年 6月/ 彰化縣 ","         3","         5","         －"
"111年 6月/ 南投縣 ","         3","         2","         －"
"111年 6月/ 雲林縣 ","         3","         4","         －"
"111年 6月/ 嘉義縣 ","         1","         1","         －"
"111年 6月/ 屏東縣 ","         3","         1","         －"
"111年 6月/ 臺東縣 ","         2","         1","         －"
"111年 6月/ 花蓮縣 ","         2","         2","         －"
"111年 6月/ 澎湖縣 ","         －","         －","         －"
"111年 6月/ 基隆市 ","         6","         5","         －"
"111年 6月/ 新竹市 ","         1","         －","         －"
"111年 6月/ 嘉義市 ","         －","         1","         －"
"111年 6月/ 金門縣 ","         －","         －","         －"
"111年 6月/ 連江縣 ","         1","         1","         －"
"111年 7月/ 新北市 ","        10","        12","         －"
"111年 7月/ 臺北市 ","         4","         5","         －"
"111年 7月/ 桃園市 ","         8","         8","         －"
"111年 7月/ 臺中市 ","         7","         5","         －"
"111年 7月/ 臺南市 ","         1","         1","         －"
"111年 7月/ 高雄市 ","         1","         2","         －"
"111年 7月/ 宜蘭縣 ","         3","         4","         －"
"111年 7月/ 新竹縣 ","         6","         4","         －"
"111年 7月/ 苗栗縣 ","         2","         2","         －"
"111年 7月/ 彰化縣 ","         －","         －","         －"
"111年 7月/ 南投縣 ","         1","         3","         －"
"111年 7月/ 雲林縣 ","         1","         －","         －"
"111年 7月/ 嘉義縣 ","         4","         4","         －"
"111年 7月/ 屏東縣 ","         －","         1","         －"
"111年 7月/ 臺東縣 ","         1","         1","         －"
"111年 7月/ 花蓮縣 ","         －","         －","         －"
"111年 7月/ 澎湖縣 ","         －","         －","         －"
"111年 7月/ 基隆市 ","         3","         －","         －"
"111年 7月/ 新竹市 ","         －","         1","         －"
"111年 7月/ 嘉義市 ","         －","         －","         －"
"111年 7月/ 金門縣 ","         －","         －","         －"
"111年 7月/ 連江縣 ","         －","         －","         －"
"111年 8月/ 新北市 ","        12","        10","         －"
"111年 8月/ 臺北市 ","         5","         4","         －"
"111年 8月/ 桃園市 ","         9","        16","         －"
"111年 8月/ 臺中市 ","         3","         4","         －"
"111年 8月/ 臺南市 ","         2","         －","         －"
"111年 8月/ 高雄市 ","         1","         2","         －"
"111年 8月/ 宜蘭縣 ","         2","         2","         －"
"111年 8月/ 新竹縣 ","         6","         6","         －"
"111年 8月/ 苗栗縣 ","         4","         4","         －"
"111年 8月/ 彰化縣 ","         4","         2","         －"
"111年 8月/ 南投縣 ","         3","         3","         －"
"111年 8月/ 雲林縣 ","         2","         3","         －"
"111年 8月/ 嘉義縣 ","         －","         －","         －"
"111年 8月/ 屏東縣 ","         3","         2","         －"
"111年 8月/ 臺東縣 ","         1","         1","         －"
"111年 8月/ 花蓮縣 ","         5","         5","         －"
"111年 8月/ 澎湖縣 ","         1","         1","         －"
"111年 8月/ 基隆市 ","         2","         3","         －"
"111年 8月/ 新竹市 ","         3","         2","         －"
"111年 8月/ 嘉義市 ","         －","         －","         －"
"111年 8月/ 金門縣 ","         －","         －","         －"
"111年 8月/ 連江縣 ","         －","         －","         －"
"111年 9月/ 新北市 ","         8","        11","         －"
"111年 9月/ 臺北市 ","         1","         6","         －"
"111年 9月/ 桃園市 ","         5","         9","         －"
"111年 9月/ 臺中市 ","         2","         2","         －"
"111年 9月/ 臺南市 ","         2","         3","         －"
"111年 9月/ 高雄市 ","         1","         1","         －"
"111年 9月/ 宜蘭縣 ","         1","         －","         －"
"111年 9月/ 新竹縣 ","         7","         1","         －"
"111年 9月/ 苗栗縣 ","         －","         －","         －"
"111年 9月/ 彰化縣 ","         7","         5","         －"
"111年 9月/ 南投縣 ","         1","         1","         －"
"111年 9月/ 雲林縣 ","         5","         6","         －"
"111年 9月/ 嘉義縣 ","         －","         －","         －"
"111年 9月/ 屏東縣 ","         1","         1","         －"
"111年 9月/ 臺東縣 ","         －","         －","         －"
"111年 9月/ 花蓮縣 ","         4","         1","         －"
"111年 9月/ 澎湖縣 ","         1","         1","         －"
"111年 9月/ 基隆市 ","         3","         3","         －"
"111年 9月/ 新竹市 ","         1","         3","         －"
"111年 9月/ 嘉義市 ","         1","         1","         －"
"111年 9月/ 金門縣 ","         －","         －","         －"
"111年 9月/ 連江縣 ","         －","         －","         －"
"111年 10月/ 新北市 ","        11","         8","         －"
"111年 10月/ 臺北市 ","         3","         4","         －"
"111年 10月/ 桃園市 ","         4","         7","         －"
"111年 10月/ 臺中市 ","         2","         3","         －"
"111年 10月/ 臺南市 ","         －","         1","         －"
"111年 10月/ 高雄市 ","         3","         2","         －"
"111年 10月/ 宜蘭縣 ","         3","         4","         －"
"111年 10月/ 新竹縣 ","         4","         3","         －"
"111年 10月/ 苗栗縣 ","         2","         1","         －"
"111年 10月/ 彰化縣 ","         3","         6","         －"
"111年 10月/ 南投縣 ","         2","         －","         －"
"111年 10月/ 雲林縣 ","         3","         3","         －"
"111年 10月/ 嘉義縣 ","         3","         2","         －"
"111年 10月/ 屏東縣 ","         －","         －","         －"
"111年 10月/ 臺東縣 ","         －","         －","         －"
"111年 10月/ 花蓮縣 ","         4","         4","         －"
"111年 10月/ 澎湖縣 ","         －","         －","         －"
"111年 10月/ 基隆市 ","         1","         2","         －"
"111年 10月/ 新竹市 ","         1","         1","         －"
"111年 10月/ 嘉義市 ","         2","         2","         －"
"111年 10月/ 金門縣 ","         1","         1","         －"
"111年 10月/ 連江縣 ","         －","         －","         －"
"111年 11月/ 新北市 ","         7","         9","         －"
"111年 11月/ 臺北市 ","         4","         5","         －"
"111年 11月/ 桃園市 ","         2","         2","         －"
"111年 11月/ 臺中市 ","         4","         6","         －"
"111年 11月/ 臺南市 ","         1","         －","         －"
"111年 11月/ 高雄市 ","         5","         4","         －"
"111年 11月/ 宜蘭縣 ","         －","         －","         －"
"111年 11月/ 新竹縣 ","         3","         2","         －"
"111年 11月/ 苗栗縣 ","         4","         5","         －"
"111年 11月/ 彰化縣 ","         4","         2","         －"
"111年 11月/ 南投縣 ","         －","         2","         －"
"111年 11月/ 雲林縣 ","         3","         1","         －"
"111年 11月/ 嘉義縣 ","         －","         －","         －"
"111年 11月/ 屏東縣 ","         1","         －","         －"
"111年 11月/ 臺東縣 ","         1","         －","         －"
"111年 11月/ 花蓮縣 ","         2","         2","         －"
"111年 11月/ 澎湖縣 ","         －","         －","         －"
"111年 11月/ 基隆市 ","         －","         －","         －"
"111年 11月/ 新竹市 ","         －","         1","         －"
"111年 11月/ 嘉義市 ","         －","         1","         －"
"111年 11月/ 金門縣 ","         －","         －","         －"
"111年 11月/ 連江縣 ","         －","         －","         －"
"111年 12月/ 新北市 ","         3","         5","         －"
"111年 12月/ 臺北市 ","         2","         2","         －"
"111年 12月/ 桃園市 ","        17","         2","         －"
"111年 12月/ 臺中市 ","         4","         3","         －"
"111年 12月/ 臺南市 ","         －","         －","         －"
"111年 12月/ 高雄市 ","         7","         7","         －"
"111年 12月/ 宜蘭縣 ","         2","         3","         －"
"111年 12月/ 新竹縣 ","         4","         1","         －"
"111年 12月/ 苗栗縣 ","         4","         2","         －"
"111年 12月/ 彰化縣 ","         2","         2","         －"
"111年 12月/ 南投縣 ","         6","         4","         －"
"111年 12月/ 雲林縣 ","         2","         2","         －"
"111年 12月/ 嘉義縣 ","         1","         －","         －"
"111年 12月/ 屏東縣 ","         5","         3","         －"
"111年 12月/ 臺東縣 ","         1","         2","         －"
"111年 12月/ 花蓮縣 ","         1","         －","         －"
"111年 12月/ 澎湖縣 ","         －","         －","         －"
"111年 12月/ 基隆市 ","         －","         －","         －"
"111年 12月/ 新竹市 ","         －","         －","         －"
"111年 12月/ 嘉義市 ","         －","         －","         －"
"111年 12月/ 金門縣 ","         －","         －","         －"
"111年 12月/ 連江縣 ","         －","         －","         －"

